AFF_NOS,Birth_DATE,ASSETS,email,GENDER,Aadhar_Card_Nos,Category,Contact_Nos.,LS,,
T171057,19-Dec-19,Rs 8166324854,akinnon9q@nasa.gov,M,2900-7108-9014-7569,,9953668172,1,,
T161058,22-May-18,Rs 8846922672,adorling9s@census.gov,M,5311-8882-6455-9985,,9994360275,1,,
T171058,22-May-18,Rs 8846922672,adorling9s@census.gov,M,5311-8882-6455-9985,,9994360275,1,,
T161059,21-May-18,Rs 6967059378,nkinnard9u@usa.gov,M,1610-0988-5395-7142,,9938614229,1,,
T171059,21-May-18,Rs 6967059378,nkinnard9u@usa.gov,M,1610-0988-5395-7142,,9938614229,1,,
T161060,19-Nov-18,Rs 3835027030,cbennetts9w@google.com.br,M,3724-1174-7069-3838,,9904284739,1,,
T171060,05-Apr-18,Rs 3806250150,tdupree9x@livejournal.com,M,5069-4983-8944-4586,,9995663903,1,,
T161061,08-Dec-18,Rs 1098288461,ccaps9y@xrea.com,M,3851-9589-1499-7786,,9967256124,1,,
T171061,21-Apr-19,Rs 6831161355,amilan9z@blog.com,F,6870-1704-3436-3024,,9939014206,1,,
T161062,26-Feb-18,Rs 2098267310,siacovuccia0@si.edu,M,5466-5850-6282-8655,,9956408488,1,,
T171062,02-May-19,Rs 0155330639,jcrosselanda1@wix.com,M,4042-9264-7480-0470,,9932758307,1,,
T161063,22-Jul-19,Rs 7471448285,lcoultousa2@gravatar.com,M,0728-9945-4969-3731,,9979615094,1,,
T171063,06-Dec-18,Rs 3520522760,bklimpta3@samsung.com,M,4250-2879-9531-2065,,9932485958,1,,
T161064,04-Jun-18,Rs 7518052094,mdalzella4@google.com.br,M,7043-4285-3296-8841,,9999528762,1,,
T171064,04-Jun-18,Rs 8052094,mdalzella4@google.com.br,M,7043-4285-3296-8841,,9999528762,1,,
T161065,24-Aug-18,Rs 1477097453,klowndesbrougha6@earthlink.net,M,7741-6436-2532-2134,,9905152148,1,,
T171065,14-Aug-19,Rs 7400881844,mbirkbecka7@telegraph.co.uk,M,0399-3542-7562-6658,,9969478037,1,,
T161066,17-May-19,Rs 4700833824,tbouslera8@apache.org,M,3499-5072-4263-9069,,9903508979,1,,
T171066,30-Jun-19,Rs 4862627146,rbriscowa9@hubpages.com,M,2143-6751-4476-7708,,9965902616,1,,
T161067,05-Sep-18,Rs 6593086530,rwisdomaa@hao123.com,M,4353-3270-5862-7109,,9972282146,1,,
T171067,01-Aug-18,Rs 2144167921,fgrigsab@nationalgeographic.com,M,2948-8331-3223-5062,,9901739144,1,,
T161068,18-Jan-19,Rs 2991266839,swaterhousac@simplemachines.org,M,5687-6898-9524-7345,,9943632064,1,,
T171068,18-Jan-19,Rs 2991266839,swaterhousac@simplemachines.org,F,5687-6898-9524-7345,,9943632064,1,,
T161069,11-Dec-18,Rs 8233118199,dlorenzettoae@boston.com,M,7948-1326-7861-3515,,9955066638,1,,
T171069,03-Feb-18,Rs 2419223627,breedmanaf@taobao.com,M,0263-9502-3545-6138,,9969721848,1,,
T161070,03-Feb-18,Rs 2419223627,breedmanaf@taobao.com,F,0263-9502-3545-6138,,9969721848,1,,
T171070,16-Apr-19,Rs 2203926990,gcopinah@google.nl,M,0968-0077-4912-9385,,9970443178,1,,
T161071,25-Dec-19,Rs 2179482983,gziemsai@behance.net,M,6705-6589-1589-4793,,9953132868,1,,
T161071,25-Jun-18,Rs 5363252742,rgeareaj@flavors.me,F,3315-5234-7825-4041,,9931459990,1,,
T171072,25-Jun-18,Rs 5363252742,rgeareaj@flavors.me,M,3315-5234-7825-4041,,9931459990,1,,
T161072,04-Aug-19,Rs 0476263932,dureyal@examiner.com,M,8791-5238-9817-4307,,9928494442,1,,
T171073,28-Feb-19,Rs 2871192890,srossantam@51.la,M,7024-9725-5711-7041,,9949039218,1,,
T161073,26-Apr-18,Rs 1224514009,mbrownellan@wsj.com,M,5927-6011-7997-3839,,9931133332,1,,
T171074,26-Apr-18,Rs 1224514009,mbrownellan@wsj.com,M,5927-6011-7997-3839,,9931133332,1,,
T161074,07-Feb-19,Rs 3556465942,vmethamap@china.com.cn,M,2360-5828-0926-8672,,9948275790,1,,
T171075,04-Oct-19,Rs 0267571678,tmassimoaq@pen.io,M,0369-7333-4083-8253,,9917567059,1,,
T161075,10-Aug-19,Rs 6721157985,randrissar@yellowbook.com,M,0703-1297-2395-0302,,9963827136,1,,
T171076,29-Aug-19,Rs 4034503642,gspittleas@usatoday.com,F,9251-4286-2750-1015,,9940516894,1,,
T161076,18-Jan-18,Rs 2636355174,mspanswickat@cmu.edu,M,6175-9975-3877-8021,,9950859463,1,,
T171077,18-Oct-19,Rs 3187074213,vboomeau@hao123.com,M,2156-2474-4556-7935,,9978466699,1,,
T161077,05-Jul-18,Rs 9065309771,rorromav@bravesites.com,M,7278-5910-4561-5091,,9939947051,1,,
T171078,09-Jul-19,Rs 1641798031,adalbyaw@amazonaws.com,F,2520-1800-4329-7336,,9942534448,1,,
T161078,29-Mar-18,Rs 5111904960,scleworthax@github.io,M,5556-0877-3048-4574,,9995552812,1,,
T171079,18-Jan-18,Rs 8280287338,calbisseray@angelfire.com,M,0823-3070-6082-2061,,9933817583,1,,
T161079,19-Oct-19,Rs 2298273231,ahapkeaz@symantec.com,M,2717-3441-0019-1622,,9901585166,1,,
T171080,30-May-18,Rs 7603255328,mbolamb0@sourceforge.net,M,4937-9005-2599-7444,,9970309463,1,,
T161080,19-Oct-19,Rs 2849470950,gbrimnerb1@networksolutions.com,M,1037-6631-0788-4392,,9988088671,1,,
T171081,19-Oct-19,Rs 2849470950,gbrimnerb1@networksolutions.com,M,1037-6631-0788-4392,,9988088671,1,,
T161081,01-Apr-19,Rs 4951000167,rduplainb3@wunderground.com,F,8208-7157-1026-5054,,9958995981,1,,
T171082,20-May-18,Rs 0946513120,pisseleeb4@ft.com,M,6183-1504-8398-9109,,9992673882,1,,
T161082,19-Oct-19,Rs 6025394686,htassellb5@hao123.com,M,2767-6314-4960-1697,,9943365465,1,,
T171083,23-Sep-19,Rs 4376710215,bnattrassb6@columbia.edu,M,2569-2275-0765-5563,,9982318351,1,,
T161083,21-Nov-19,Rs 6624877388,sgoodsalb7@squarespace.com,M,8946-4985-5738-7265,,9965893718,1,,
T171084,14-Nov-19,Rs 1523771077,vstockaub8@forbes.com,M,9267-2740-0231-0363,,9941720816,1,,
T161084,09-May-18,Rs 1792000200,gfoggob9@soup.io,M,8677-5147-1826-3538,,9988124455,1,,
T171085,09-May-18,Rs 1792000200,gfoggob9@soup.io,M,8677-5147-1826-3538,,9988124455,1,,
T161085,23-May-18,Rs 2266041407,bmccafferkybb@bizjournals.com,M,9169-6647-1151-2553,,9972172476,1,,
T171086,12-Jan-19,Rs 1390648876,smartinellobc@cnet.com,M,9953-0006-7519-2812,,9907370295,1,,
T161086,01-Jul-19,Rs 9278368089,abeagleholebd@economist.com,M,5885-6114-1281-5518,,9937428707,1,,
T171087,22-Jun-18,Rs 3636565286,cfitzpaynbe@cocolog-nifty.com,M,3681-0131-3638-3846,,9977194551,1,,
T161087,15-Sep-19,Rs 0118731188,blightbodybf@fda.gov,F,9489-1343-9115-8680,,9947787306,1,,
T171088,01-Aug-19,Rs 0237514083,kvernazzabg@istockphoto.com,M,6278-5815-5816-1753,,9915003235,1,,
T161088,12-Apr-18,Rs 6500534713,dromaynesbh@studiopress.com,M,2298-9876-0245-1094,,9911372793,1,,
T171089,12-Jul-19,Rs 5114475438,scoughlanbi@economist.com,M,2593-0120-5973-2379,,9975177453,1,,
T161089,23-Jan-19,Rs 7697124776,xsimobj@aol.com,M,2538-3882-8590-7149,,9955490079,1,,
T171090,06-Jan-18,Rs 6333731572,aserrellbk@japanpost.jp,M,3990-1679-0924-1825,,9965182492,1,,
T161090,16-Nov-18,Rs 2289232073,fdedmambl@chronoengine.com,M,6876-1900-8590-0858,,9982423077,1,,
T171091,23-May-19,Rs 5341178870,edabellbm@omniture.com,M,0103-6463-5581-1365,,9942765008,1,,
T161091,10-Jun-19,Rs 6623459286,ralecockbn@nsw.gov.au,M,9574-1513-3761-6018,,9931372071,1,,
T171092,02-Sep-19,Rs 8223863804,iclistbo@latimes.com,M,1188-9094-6724-7225,,9996605605,1,,
T161092,01-Jul-19,Rs 5015836753,cgareybp@biglobe.ne.jp,M,0851-0638-0291-5273,,9936870774,1,,
T171093,06-Aug-19,Rs 6700067953,bmcbeithbq@stumbleupon.com,M,1106-0158-6128-4232,,9989203930,1,,
T161093,14-Mar-18,Rs 1569967413,nalthropebr@sakura.ne.jp,F,2800-4644-2547-7228,,9988114748,1,,
T171094,14-Mar-18,Rs 1569967413,nalthropebr@sakura.ne.jp,M,2800-4644-2547-7228,,9988114748,1,,
T161094,31-Jan-18,Rs 8676541445,eamirandabt@wiley.com,M,6913-1788-1315-8283,,9961210841,1,,
T171095,31-Jan-18,Rs 8676541445,eamirandabt@wiley.com,M,6913-1788-1315-8283,,9961210841,1,,
T161095,17-Aug-19,Rs 5280445368,sberndtbv@pinterest.com,F,5709-6122-9893-3413,,9904426027,1,,
T171096,17-Aug-19,Rs 5280445368,sberndtbv@pinterest.com,M,5709-6122-9893-3413,,9904426027,1,,
T161096,08-Nov-18,Rs 6004812860,iotuohybx@spiegel.de,M,9223-5710-5802-5436,,9969662739,1,,
T171097,02-Apr-19,Rs 8199323653,gpresterby@cbc.ca,F,8801-4987-3950-5902,,9932193939,1,,
T161097,19-May-18,Rs 4703309842,drockallbz@huffingtonpost.com,M,3286-7515-0797-0198,,9912702529,1,,
T171098,06-Feb-18,Rs 1471444327,eabelsonc0@tripadvisor.com,M,2888-3666-3506-3039,,9959828560,1,,
T161098,11-Jan-18,Rs 5759152804,kbertotc1@samsung.com,M,5111-3626-9549-8838,,9962479346,1,,
T171099,20-Dec-18,Rs 6922708150,gavrahamofc2@acquirethisname.com,M,9816-8050-4737-7479,,9946924165,1,,
T161099,26-Dec-18,Rs 4048095081,gjaumetc3@ted.com,M,8978-1460-0173-6224,,9958723111,1,,
T171100,04-Dec-18,Rs 8282489002,jsellorsc4@theatlantic.com,M,9889-6418-2706-8650,,9961948723,1,,
T161100,04-Oct-19,Rs 7740860713,abeckittc5@chicagotribune.com,M,1032-9527-6885-0349,,9987139303,1,,
T171107,01-Nov-18,Rs 0532510255,cpeyton5l@java.com,M,8519-8009-5544-7063,,9950944243,1,,
T171109,25-Sep-18,Rs 8355141937,furvoy5m@about.me,M,3618-4001-2780-3208,,9966160354,1,,
T171110,06-Feb-18,Rs 3194799512,gmapam5n@omniture.com,M,7481-4648-2376-0172,,9977044911,1,,
T171111,22-Apr-18,Rs 8997476230,lhansman5o@youtube.com,M,2956-3642-8404-5690,,9996176377,1,,
T171112,21-Apr-19,Rs 5140233079,dportis5p@ycombinator.com,M,5970-5048-9806-2389,,9920737730,1,,
T141084,09-May-18,Rs 1792000200,gfoggob9@soup.io,M,8677-5147-1826-3538,,9988124455,1,,
T151085,09-May-18,Rs 1792000200,gfoggob9@soup.io,M,8677-5147-1826-3538,,9988124455,1,,
T141095,17-Aug-19,Rs 5280445368,sberndtbv@pinterest.com,M,5709-6122-9893-3413,,9904426027,1,,
T151096,17-Aug-19,Rs 5280445368,sberndtbv@pinterest.com,M,5709-6122-9893-3413,,9904426027,1,,
T141068,18-Jan-19,Rs 2991266839,swaterhousac@simplemachines.org,M,5687-6898-9524-7345,,9943632064,1,,
T151068,24-Aug-18,Rs 8291358262,,M,1234-5678-1235-1234,,9988124555,1,,
T171115,14-Aug-19,Rs 8059150180,,M,1234-5678-1236-1234,,9904426627,1,,
T161116,20-Dec-18,Rs 3405860948,,M,1234-5678-1237-1234,,9904426727,1,,
T161117,26-Dec-18,Rs 4368468661,,M,1234-5678-1238-1234,,,1,,
